sample,m_r_cv,m_gmax,m_V,m_nzero,s_r_cv,s_gmax,s_V,s_nzero,m_lit_r_cv,m_lit_gmax,s_lit_r_cv,s_lit_gmax
570,1.756261016380682,65.49280415039611,0.3082908808665609,2,2.5361628882482354,48.915964690910755,0.5258288816613486,2,2.794575185183725,95.79226034929076,2.4909218720133,97.92617402663166
571,2.8934714594865247,81.80735557110478,0.4266411149274654,2,2.594082495666119,100.4636346921326,0.4816692436795753,2,3.4988685841706664,97.18486852326234,2.6026211260421177,92.44354814879986
572,1.8755460676041955,38.67479536364121,0.3221404907542363,2,2.4205866299797667,92.66912238613335,0.49543382858807583,2,2.906692209146004,101.1082292540728,2.6957762498382323,90.27678626667591
573,2.0964631103155624,85.90622684348281,0.3893345536777366,2,2.312120274115189,90.44260388074568,0.566958342555034,2,2.911280986878368,95.68741792196934,2.737513380458179,105.77722577815041
574,2.6289435076976604,33.11262872096026,0.48872752116615537,2,2.6534637924371545,91.0492336333774,0.5975763908132252,2,2.9577874726590405,96.11242815043255,3.0801305432914363,125.23439139636892
575,2.0027434273043654,60.68921131478433,0.4631218635509527,2,2.6269022681207796,81.96501097948635,0.5900985926878135,2,3.324484774531408,91.4775802336907,3.185068447071759,120.97259132366874
576,3.735311162938815,90.65627862435815,0.7167389054747577,2,2.8388915843502973,109.30986943283663,0.8258625100051242,2,3.895533801486673,119.81507775943005,2.852534811241994,124.7774084200852
577,3.1356029053471586,90.77069950155821,0.5944089988744048,2,2.8245596266932766,95.4431646484919,0.7191456105477187,2,3.7275310728195286,90.33933083256602,2.811765653559653,99.52042618049717
578,2.527504511279411,74.61149905604665,0.5167282442379444,2,2.6569169579029897,92.0853313117508,0.6323995797911893,2,2.6271315681831107,90.70614291593306,2.7564586623161023,98.04279215665153
579,2.780798620442931,83.47242900706607,0.43890646401406563,2,2.78379324621265,82.49844639959011,0.6887755174579513,2,3.6827746605337923,112.72497875669275,3.251214087842441,105.23071462442165
580,2.616580726608153,92.03490214555013,0.45346198222745093,2,2.7262855195981137,103.12451739774406,0.6907881274543811,2,3.7143118309324126,91.06187920438386,3.2791530335340067,143.74492619222173
581,3.5082684359590264,90.62305763045424,0.6335632881379479,2,2.5810523561565932,105.10077750436022,0.6880795084387378,2,4.327446765313602,110.7744615637509,2.8520785732660117,123.29617631149483
