seed,n,op,wrong,sim
3,2,-,0,0.9068497908749147
3,3,+,0,0.9013032569427504
3,3,-,0,0.9068497908749147
3,4,+,0,0.8834522085987724
3,4,-,0,0.8171339354788059
3,5,+,0,0.8436184470725518
3,5,-,0,0.8571593913749194
3,6,+,0,0.8944271909999159
3,6,-,0,0.8624999999999998
3,7,+,0,0.8944271909999159
3,7,-,0,0.8624999999999998
3,8,+,0,0.9374999999999999
3,8,-,0,0.9499999999999998
3,9,+,0,0.9689627902499088
3,9,-,0,0.9499999999999998
3,10,+,0,0.9689627902499088
3,10,-,0,0.9499999999999998
3,11,+,0,0.8323141916249217
3,11,-,0,0.8374999999999998
3,12,+,0,0.8323141916249217
3,12,-,0,0.8374999999999998
3,13,+,0,0.9124999999999999
3,13,-,0,0.9124999999999999
3,14,+,0,0.9124999999999999
3,14,-,0,0.9124999999999999
3,15,+,0,0.8874999999999998
3,15,-,0,0.8749999999999999
3,16,+,0,0.8874999999999998
3,16,-,0,0.9013032569427504
3,17,+,0,0.882004591124917
3,17,-,0,0.9013032569427504
3,18,+,0,0.8519167771102709
3,18,-,0,0.8902439024390242
3,19,+,0,0.9249999999999998
3,19,-,0,0.834371530343285
3,20,+,0,0.9249999999999998
3,20,-,0,0.7805458488155758
3,21,+,0,0.8374999999999998
3,21,-,0,0.8889566369846305
3,22,+,0,0.8624999999999998
3,22,-,0,0.8889566369846305
3,23,+,0,0.8749999999999999
3,23,-,0,0.8874999999999998
3,24,+,0,0.8749999999999999
3,24,-,0,0.8749999999999999
3,25,+,0,0.8749999999999999
3,25,-,0,0.8749999999999999
3,26,+,0,0.8499999999999999
3,26,-,0,0.8499999999999999
